Index;Sport;Championnat;Événement;Formule pari;Prono;Prono ID;Cote;CA (PG);CA en %;Mises (PG);Mises en %;Mises single (PG);Mises single en %;% CA Single;Nb PDJ;Liability;Liability RU;Liability Single;Exposure;Payout;Mises combinés;Combinés perdants;Combinés en cours
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;L.Javier Suarez ou Clayton;122718272;2,15;3;0 %;10;0 %;0;0 %;0 %;9;945;945;520;0;0;10;4;6
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;F.Ioannidis ou A.de Almeida Santos;122718278;2,1;0;0 %;0;0 %;0;0 %;0 %;0;945;945;520;0;0;0;0;0
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;F.Ioannidis ou M.Araujo;122718283;2,2;0;0 %;0;0 %;0;0 %;0 %;0;945;945;520;0;0;0;0;0
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;F.Trincao ou A.de Almeida Santos;122718279;2,35;0;0 %;0;0 %;0;0 %;0 %;0;945;945;520;0;0;0;0;0
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;F.Trincao ou M.Araujo;122718286;2,45;104;7 %;120;4 %;100;19 %;96 %;11;700;700;275;145;245;20;0;20
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;F.Ioannidis ou Clayton;122718275;2,6;0;0 %;0;0 %;0;0 %;0 %;0;945;945;520;0;0;0;0;0
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;A.de Almeida Santos ou M.Araujo;122718276;2,6;0;0 %;0;0 %;0;0 %;0 %;0;945;945;520;0;0;0;0;0
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;F.Trincao ou Clayton;122718273;3,05;0;0 %;0;0 %;0;0 %;0 %;0;945;945;520;0;0;0;0;0
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;A.de Almeida Santos ou Clayton;122718274;3,35;0;0 %;0;0 %;0;0 %;0 %;0;945;945;520;0;0;0;0;0
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;M.Araujo ou Clayton;122718285;3,65;0;0 %;0;0 %;0;0 %;0 %;0;945;945;520;0;0;0;0;0
7572;;;;;30265632;;9,9;2 265;100 %;9 684;100 %;9;100 %;0 %;1 425;;;;;;9 675;4 936;4 739
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;L.Javier Suarez ou F.Ioannidis;122718261;1,2;253;11 %;1 428;15 %;3;33 %;1 %;326;-109;-109;5;240;353;1 425;1 115;310
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;L.Javier Suarez ou F.Trincao;122718267;1,23;1 677;74 %;6 607;68 %;3;33 %;0 %;723;-69;-71;5;248;304;6 604;2 725;3 879
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;L.Javier Suarez ou A.de Almeida Santos;122718257;1,26;4;0 %;37;0 %;0;0 %;0 %;15;244;244;9;0;0;37;33;4
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;L.Javier Suarez ou M.Araujo;122718258;1,3;97;4 %;546;6 %;3;33 %;3 %;93;25;25;5;176;219;543;297;246
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;F.Ioannidis ou F.Trincao;122718265;1,34;75;3 %;364;4 %;0;0 %;0 %;103;239;211;9;28;0;364;270;94
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;L.Javier Suarez ou Clayton;122718266;1,42;68;3 %;339;4 %;0;0 %;0 %;60;244;244;9;0;0;339;237;102
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;F.Ioannidis ou A.de Almeida Santos;122718259;1,4;1;0 %;4;0 %;0;0 %;0 %;2;243;243;9;0;0;4;0;4
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;F.Ioannidis ou M.Araujo;122718263;1,42;5;0 %;28;0 %;0;0 %;0 %;10;244;244;9;0;0;28;27;1
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;F.Trincao ou A.de Almeida Santos;122718260;1,5;3;0 %;15;0 %;0;0 %;0 %;1;244;244;9;0;0;15;15;0
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;F.Trincao ou M.Araujo;122718270;1,56;61;3 %;245;3 %;0;0 %;0 %;64;244;244;9;0;0;245;165;80
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;F.Ioannidis ou Clayton;122718271;1,65;0;0 %;2;0 %;0;0 %;0 %;2;244;244;9;0;0;2;2;0
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;A.de Almeida Santos ou M.Araujo;122718268;1,65;9;0 %;21;0 %;0;0 %;0 %;5;229;219;9;10;0;21;6;15
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;F.Trincao ou Clayton;122718262;1,85;10;0 %;41;0 %;0;0 %;0 %;15;244;244;9;0;0;41;37;4
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;A.de Almeida Santos ou Clayton;122718264;2;0;0 %;2;0 %;0;0 %;0 %;1;244;244;9;0;0;2;2;0
